time_stamp,summary
2020/7/31 03:14,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 129 Kbps |5gMAC| 27 Kbps |5gRLC| 26 Kbps |5gPDCP| 26 Kbps |IPA| 26 Kbps |AP | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 5 Kbps | 5gMAC Pad: 95 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 270 Kbps |5gMAC| 82 Kbps |5gRLC| 81 Kbps |5gPDCP| 81 Kbps |IPA| 81 Kbps |AP | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 186 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 599 Kbps |5gMAC| 244 Kbps |5gRLC| 242 Kbps |5gPDCP| 242 Kbps |IPA| 242 Kbps |AP | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 350 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 910 Kbps |5gMAC| 396 Kbps |5gRLC| 391 Kbps |5gPDCP| 391 Kbps |IPA| 391 Kbps |AP | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 508 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 339 Kbps |5gMAC| 134 Kbps |5gRLC| 133 Kbps |5gPDCP| 133 Kbps |IPA| 133 Kbps |AP | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 20 Kbps | 5gMAC Pad: 182 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 55 Kbps |5gMAC| 7 Kbps |5gRLC| 6 Kbps |5gPDCP| 6 Kbps |IPA| 6 Kbps |AP | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 47 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 200 Kbps |5gMAC| 67 Kbps |5gRLC| 66 Kbps |5gPDCP| 66 Kbps |IPA| 66 Kbps |AP | TPUT
2020/7/31 03:14,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 131 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
