type,time_stamp,name,summary
6,2016-12-13 10:24:48,Call Manager/High,"[            cmdiag.c   1144] =CM= cmdiag_cm_state_info standby_pref 1, active_subs 1"
6,2016-12-13 10:24:48,Call Manager/High,"[            cmdiag.c   1146] =CM= cmdiag_cm_state_info main 0, h2 0, h3 0"
6,2016-12-13 10:24:48,Call Manager/High,[            cmdiag.c   1154] =CM= cmdiag_cm_state_info main_first 0
6,2016-12-13 10:24:48,Call Manager/High,[            cmdiag.c   3155] =CM= cmdiag_cm_state_info_per_subs as_id 1
6,2016-12-13 10:24:48,Call Manager/High,[            cmdiag.c   3155] =CM= cmdiag_cm_state_info_per_subs as_id 2
6,2016-12-13 10:24:48,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:48,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:49,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:49,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:50,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:50,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:51,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:51,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:52,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:52,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:53,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:53,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:54,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:54,Call Manager/High,[              cmph.c  49209] =CM= Is as_id valid 1
6,2016-12-13 10:24:54,Call Manager/High,"[                cm.c   7801] =CM= cm_ph_cmd_oprt_mode(), mode=5"
6,2016-12-13 10:24:54,Call Manager/High,"[             cmdbg.c   3411] =CM= CMD alloc u=3632, tsk=ds"
6,2016-12-13 10:24:54,Call Manager/High,[             cmdbg.c   3538] =CM= >>CM phcmd 0: 4
6,2016-12-13 10:24:54,Call Manager/High,"[            cmtask.c  10750] =CM= reset cmd_ptr->is_reused = 0, cmd_ptr = 0x86e29ff0"
6,2016-12-13 10:24:54,Call Manager/High,"[              cmph.c  13042] =CM= cmph_client_cmd_check(), cmd=0, asubs_id=0, ss=0"
6,2016-12-13 10:24:54,Call Manager/High,[              cmph.c   3836] =CM= No need to inform PS_Detach to IPAPPS as oprt mode is not ONLINE
6,2016-12-13 10:24:54,Call Manager/High,[              cmph.c  23722] =CM= MMSOA: Notify SD - dynamic switch_enabled=0
6,2016-12-13 10:24:54,Call Manager/High,[           cmpmprx.c   4152] =CM= PMPRX<< CM: SYS_SEL_PREF asubs_id 0
